Type → Name Bigrams
================================================================================

Format: (node_type, node_name)
('variable', '等待時間為30秒,60秒就詢問使用者是否要繼續等待')
('request.raw', '呼叫取得結果 API')
('request.multicast', '下載指定任務之檔案(逐字稿)')
('variable', '判斷輸入是否有輸入文字')
('function', '訊息遮罩')
('function', '輸出資料整合')
('function', '將答案加入對話紀錄中')
('function', '整理 toolCalls')
('function', '取得檔案')
('flow.begin', '[腳本]中文翻譯/合約摘要')
('prompt.text', '重新上傳')
('function', '中文翻譯')
('request.raw', 'Get Token')
('variable', '判斷是否有 toolCall 待處理')
('function', '整理圖片生成結果')
('function', '更新並保留支援的附件')
('request.raw', '呼叫語音轉文字API')
('sending.message', '轉換中請稍候-10秒')
('request.raw', '呼叫 dall e-3生成圖片')
('trace', '偵錯建立任務')
('sending.message', '提示收到檔案')
('flow.module.end', '結束目前的模組')
('function', '確認使用者提示是否有輸入')
('request.raw', '呼叫語音轉文字API')
('prompt.text', '詢問是否要繼續等待')
('variable', '判斷等待次數是否超過')
('prompt.text', '提示下一步')
('variable', '發生錯誤時回覆結果設定')
('function', '確認使用者提示是否有輸入')
('trace', '偵錯訊息處理模組處理結果')
('function', '判斷API Status')
('prompt.text', '翻譯或摘要')
('flow.module.begin', '判斷 API 呼叫結果')
('flow.module.end', '結束目前的模組')
('trace', '圖片上傳到 FileServer')
('sending.message', '內容摘要提示')
('flow.module.begin', '合約摘要')
('function', '設定目前 toolCall')
('trace', '偵錯待處理檔案')
('variable', '判斷使用哪一種語音技術')
('custom', '上傳檔案並轉為Base64字串')
('function', '整理檔案內容')
('prompt.text', '請使用者輸入文字')
('request.multicast', '批次呼叫AOAI')
('request.raw', 'Google 搜尋')
('flow.module.end', '結束目前的模組')
('request.raw', 'Bing 搜尋')
('custom', '建立任務')
('function', 'Message變數設定')
('function', '處理取回的檔案連結')
('function', '整理逐字稿內容')
('prompt.text', '台新證劵小幫手功能選單')
('trace', '偵錯文字檔檔案連結')
('function', '語音轉文字參數整理')
('variable', '是否輸入文字')
('sending.message', '不等待')
('variable', '判斷使用引擎')
('trace', '輸入參數')
('flow.end.current', '結束目前的腳本')
('function', '組SQL')
('flow.begin', '修改員工的手機條碼')
('variable', '設定表單初始值（假資料）')
('variable', '判斷是否為測試模式')
('sending.message', '手機條碼設定完成')
('prompt.text', '查詢手機條碼')
('request.raw', '呼叫 DbGateway API (Stored Procedure)')
('request.formdata', '取得手機條碼')
('flow.begin', '跳轉回主選單')
('prompt.text', '手機條碼修改')
('flow.begin', '檢核員工是否有設定手機條碼')
('flow.begin', '主選單')
('flow.begin', '顯示錯誤')
('variable', '判斷按鈕動作')
('flow.begin', '[功能] 手機條碼維護')
('variable', '設定表單預設值')
('flow.begin', '查詢員工手機條碼')
('variable', '是否成功')
('flow.end.current', '結束目前腳本')
('variable', '計算 Signature (C#)')
('sending.message', '無法辨識輸入內容')
('flow.end.current', '結束目前的腳本')
('flow.end.all', '結束所有腳本')
('trace', '顯示資料')
('flow.begin', '[API] 手機條碼修改')
('function', '組SQL')
('sending.message', '呼叫 API 發生錯誤')
('function', '獲得時間戳記')
('flow.end.current', '結束')
('sending.message', '查無任何手機條碼')
('request.raw', '呼叫 DbGateway API (RawSql)')
('flow.end.current', '回傳結果')
('prompt.text', '手機條碼未設定')
